Marital status;Application mode;Application order;Course;Daytime/evening attendance	;Previous qualification;Previous qualification (grade);Nacionality;Mother's qualification;Father's qualification;Mother's occupation;Father's occupation;Admission grade;Displaced;Educational special needs;Debtor;Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;International;Curricular units 1st sem (credited);Curricular units 1st sem (enrolled);Curricular units 1st sem (evaluations);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 1st sem (without evaluations);Curricular units 2nd sem (credited);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (evaluations);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Curricular units 2nd sem (without evaluations);Unemployment rate;Inflation rate;GDP;Target
1;17;5;171;1;Secondary;122.0;Portugese;Basic_Education;Secondary;Service/Sales;Unskilled/Elementary;127.3;1;0;0;1;1;0;20;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;10.8;1.4;1.74;1
1;15;1;9254;1;Secondary;160.0;Portugese;Secondary;Undergraduate;Intermediate/Tech;Intermediate/Tech;142.5;1;0;0;0;1;0;19;0;0;6;6;6;14.0;0;0;6;6;6;13.666666666666666;0;13.9;-0.3;0.79;0
1;1;5;9070;1;Secondary;122.0;Portugese;Basic_Education;Basic_Education;Unskilled/Elementary;Unskilled/Elementary;124.8;1;0;0;0;1;0;19;0;0;6;0;0;0.0;0;0;6;0;0;0.0;0;10.8;1.4;1.74;1
1;17;2;9773;1;Secondary;122.0;Portugese;Basic_Education;Basic_Education;Service/Sales;Intermediate/Tech;119.6;1;0;0;1;0;0;20;0;0;6;8;6;13.428571428571429;0;0;6;10;5;12.4;0;9.4;-0.8;-3.12;0
2;39;1;8014;0;Secondary;100.0;Portugese;Basic_Education;Basic_Education;Unskilled/Elementary;Unskilled/Elementary;141.5;0;0;0;1;0;0;45;0;0;6;9;5;12.333333333333334;0;0;6;6;6;13.0;0;13.9;-0.3;0.79;0
2;39;1;9991;0;Basic_Education;133.1;Portugese;Basic_Education;Basic_Education;Unskilled/Elementary;Skilled Trades;114.8;0;0;1;1;1;0;50;0;0;5;10;5;11.857142857142858;0;0;5;17;5;11.5;5;16.2;0.3;-0.92;0
1;1;1;9500;1;Secondary;142.0;Portugese;Basic_Education;Basic_Education;Skilled Trades;Military;128.4;1;0;0;1;0;1;18;0;0;7;9;7;13.3;0;0;8;8;8;14.345;0;15.5;2.8;-4.06;0
1;18;4;9254;1;Secondary;119.0;Portugese;Basic_Education;Basic_Education;Unskilled/Elementary;Unskilled/Elementary;113.1;1;0;0;0;1;0;22;0;0;5;5;0;0.0;0;0;5;5;0;0.0;0;15.5;2.8;-4.06;1
1;1;3;9238;1;Secondary;137.0;Europe;Secondary;Secondary;Unskilled/Elementary;Unskilled/Elementary;129.3;0;0;0;1;0;1;21;1;0;6;8;6;13.875;0;0;6;7;6;14.142857142857142;0;16.2;0.3;-0.92;0
1;1;1;9238;1;Secondary;138.0;Portugese;Secondary;Basic_Education;Administrative;Skilled Trades;123.0;1;0;1;0;0;0;18;0;0;6;9;5;11.4;0;0;6;14;2;13.5;0;8.9;1.4;3.51;1
1;1;1;9670;1;Secondary;139.0;Portugese;Basic_Education;Basic_Education;Service/Sales;Skilled Trades;130.6;1;0;0;1;0;0;18;0;0;6;6;6;12.333333333333334;0;0;6;7;5;14.2;0;13.9;-0.3;0.79;0
1;1;1;9500;1;Secondary;136.0;Portugese;Basic_Education;Basic_Education;Unskilled/Elementary;Unskilled/Elementary;119.3;1;0;0;1;0;1;18;0;0;8;8;7;13.214285714285714;0;0;8;8;7;13.214285714285714;0;12.7;3.7;-1.7;0
